str_no_string|,
str_npc7_intro|Այո՞: Կաց ի հեռաստանէ:
str_npc8_intro|Զի՞նչ կամիս:
str_npc9_intro|Դու, {տէր/տիկին}, կարե՞ս բերել ինձ այլ եւս ըմպելի:
str_npc10_intro|Ողջոյն քեզ, եղբայր! Արբցուք վասն կործանման ամենայն ազնուական տեարց եւ տիկնանց!
str_npc11_intro|Ողջոյն, որդեակ իմ: Այս ըմպելի ի մէնջ լիցի:
str_npc12_intro|Ողջոյն, բարեկամ պանդուխտ: Թերեւս կարես օգնել ինձ:
str_npc13_intro|Ողջոյն, պանդուխտ: Ես եմ Նիզար: Զանուն իմ անշուշտ լուեալ իցես:
str_npc14_intro|Այո՛, զի՞նչ կամիս:
str_npc15_intro|Օ՜! Ասա՛ ինձ, բարեկամ, կամի՞ս ելանել արտաքս քաղաքիս յառաջիկայումս:
str_npc16_intro|Ողջոյն քեզ: Տեսանեմ զի պատրաստիս ի կռիւ: Արդ, խնդրե՞ս օգնականութիւն:
str_npc1_intro_response_1|Թերեւս, զի՞նչ է փոյթն այս:
str_npc2_intro_response_1|Վերջի՞ն հինգ դինարք քո: Զի՞նչ եղեւ քեզ:
str_npc3_intro_response_1|Ողջոյն: Զի՞նչ գործես յայսպիսի վայրի, դու օրիորդ ազնուական:
str_npc4_intro_response_1|Հմմ, ոչ երբեք լուայ զտանէն Ռոլֆայ:
str_npc5_intro_response_1|Յիրաւի: Ընդ ո՞ւմ ունիմ զպատիւ ըմպելոյ:
str_npc6_intro_response_1|Զի՞նչ է տրտմութիւնդ այս, բարեկամ:
str_npc7_intro_response_1|Ներեա՛ ինձ: Կամէի ասել միայն զի բախտն քո չէ թուի բարի:
str_npc8_intro_response_1|Կամէի միայն անցուցանել զժամանակն, տիկին, եթէ չունիս այլ ինչ գործ:
str_npc9_intro_response_1|Թուի թէ շփոթեցեր զիս ընդ պանդոկապետի, տէր:
str_npc10_intro_response_1|Ընդէ՞ր ասես զայդ, տէր:
str_npc11_intro_response_1|Վասն էր՞ ըմպեմք:
str_npc12_intro_response_1|Ո՞րպէս կարեմ օգնել:
str_npc13_intro_response_1|Հմմ.. ոչ կարծեմ:
str_npc14_intro_response_1|Կամէի միայն խօսիլ ընդ բարեկամի, այսչափ ինչ:
str_npc15_intro_response_1|Թերեւս, բայց ընդէ՞ր խնդրես:
str_npc16_intro_response_1|Թերեւս, զի՞նչ է պատմութիւն քո:
str_npc1_intro_response_2|Կաց ի հեռաստանէ, տէր, եւ հեռացո՛ զձեռն քո ի քսակէ իմմէ:
str_npc2_intro_response_2|Ունիմ զայլ ինչ գործս բարիս:
str_npc3_intro_response_2|Գնա՛, դուստր իմ, ունիմ զայլ ինչ գործս:
str_npc4_intro_response_2|Հա՞: Ոչ, շնորհակալ եմ, չեն մեզ պիտոյ:
str_npc5_intro_response_2|Չունիմ ժամանակ վասն այսորիկ:
str_npc6_intro_response_2|Անշուշտ: Դե՛, յաջողութիւն քեզ:
str_npc7_intro_response_2|Բարի, այլ եւս չտագնապեցուցից զքեզ:
str_npc8_intro_response_2|Յայնմանէ՝ որ այսպէս հեռի է ի քաղաքավարութենէ.. ոչինչ կամիմ: Բարի օր:
str_npc9_intro_response_2|Երթ եւ առ քեզէն!
str_npc10_intro_response_2|Խօսիս զապստամբութենէ, ոչ կամիմ լսել: Բարի օր:
str_npc11_intro_response_2|Ոչ կարծեմ, տիկին:
str_npc12_intro_response_2|Ափսոսամ, բայց երկնչիմ զի զբաղեալ եմ այժմ:
str_npc13_intro_response_2|Ոչ, եւ ափսոսամ բայց չկամիմ ծանօթանալ ընդ քեզ:
str_npc14_intro_response_2|Ոչինչ, ներեա՛ ինձ:
str_npc15_intro_response_2|Բարի արա եւ հոգա՛ զքոյդ գործ, տէր:
str_npc16_intro_response_2|Հոգա՛ զքոյդ գործ, դուստր իմ:
str_npc1_backstory_a|Արդ, {տէր/տիկին}, այս է երկայն պատմութիւն...
str_npc2_backstory_a|Այս է աղէտալի պատմութիւն, տէր:
str_npc3_backstory_a|Բարի է հարցդ եւ ես տաց քեզ զպատասխանի!
str_npc4_backstory_a|Յիրաւի՞: Թերեւս տգիտութիւն քո ներեսցի: Հողք նախնեաց մերոց են յոյժ հեռի, յայնկոյս լերանց:
str_npc5_backstory_a|Ես եմ Բահեշտուր, որդի Ազաբէի, թոռն Բադզանայ: Եթէ ոչ էիր բարբարոս, գիտէիր ի նախնեաց իմոյ զի եմ Ռոանեան Քերգիտ ի հովտէն Պանտաշայ, ի տոհմէն Դուլամայ, ի ցեղէն Շամիրայ, եւ գուշակէիր թէ ընդէր եմ յայսքան հեռի ի հայրենեաց իմոց:
str_npc6_backstory_a|Գործեցի զմեծս ի մեղաց, {տէր/տիկին}, եւ ամօթով խոստովանիմ առաջի քո, եթէ կամիս լսել:
str_npc7_backstory_a|Բա՞խտն իմ: Այնպէս եւ կարելի է ասել:
str_npc8_backstory_a|Հա՛: Բարի, եթէ պիտոյ է քեզ գիտել, պատմեցից:
str_npc9_backstory_a|Ընկա՛լ զթողութիւն իմ: Մերթ ի մշուշի աստ դժուար է ճանաչել զմարդիկ: Տակաւին ոչ հաւատամ զի պարտ է ինձ լինել յայսպիսի վայրի:
str_npc10_backstory_a|Երկայն պատմութիւն է, բայց եթէ առնուս ըմպելի, պատմեցից սիրով:
str_npc11_backstory_a|Վաճառեցի զսայլն իմ եւ զկարասիս, {որդեակ/դուստր}: Առաջին անգամ ունիմ արծաթ վասն վատնելոյ, եւ կամիմ գործել զայն իմաստութեամբ:
str_npc12_backstory_a|Պատմեցից – բայց զգոյշ լեր, այս է պատմութիւն անիրաւութեան: Եթէ բնութեամբ բարկացող ես, լսելով զայս կարես վնասել անձին քում:
str_npc13_backstory_a|Ո՞չ լուար: Թերեւս լուեալ իցես զհռչակ նժոյգի իմոյ, որ կտրէ զդաշտս Կալրադիոյ որպէս զլոյս լուսնի: Կամ զսուր իմ զոր իշխանք արբուցին արեամբ:
str_npc14_backstory_a|Այդ չէ կարեւոր: Անուն իմ է Լեզալիտ:
str_npc15_backstory_a|Ես եմ ճարտարապետ, հմուտ ի շինուածս ամրոցաց: Եթէ պարտ է կործանել զպարիսպ, կարեմ գործել զայն, եթէ ժամանակն բաւէ: Եթէ պարտ է վերաշինել, դարձեալ կարեմ գործել, բայց այն առաւել ժամանակ եւ ծախս խնդրէ: Եւ ոչ է պարտ խնայել ի ծախսն, այլապէս շինուածն փուլ գայ, որպէս տեսաք ոչ վաղ ուրեք:
str_npc16_backstory_a|Այո՛, {տէր/տիկին}, զի մանկութենէ սիրէի զգեղեցիկն, եւ այս տկարութիւն, որպէս տեսանես, արկ զիս ի բազում փորձութիւնս:
str_npc1_backstory_b|{s19} ի {s20} եղեւ թիւրիմացութիւն վասն ձիոյ միոյ զոր կապեալ եգիտի արտաքոյ պանդոկի: Յաւուրն յայնմիկ տեսի ձի մի, որ էր նման իմոյն, եւ ես արձակեցի զնա զի քննեցից զնա մօտոյ: Յետոյ յայտնի եղեւ զի ձին այն էր վաճառականի միոյ: Վաճառականն այն այնքան յամառ էր, զի որչափ եւ ջանացի բացատրել զթիւրիմացութիւնն, նա ոչինչ լուաւ եւ բողոքեց զինուորաց:
str_npc2_backstory_b|Սակաւ ժամանակաւ յառաջ ելայ ի Գերոյիոյ բեռնաւորեալ մթերիւք... Յուսացեալ էի վաճառել զնոսա ի Սարգոթ եւ շահել բազում արծաթ: Բայց ոչ եղեւ այնպէս... ի ճանապարհի յարձակեցան ի վերայ մեր Քերգիտեան աւազակք եւ յափշտակեցին զամենայն: Երկու աւուրբ յետոյ ծառայք իմ գողացան զվերջին մնացորդսն եւ փախեան:
str_npc3_backstory_b|Հայր իմ, վաճառական յայտնի ի {s19} ի {s20}, կամէր տալ զիս կնութեան միում ի բարեկամաց իւրոց, որ էր աւելի քան երեսնամեայ: Ես միշտ էի դուստր հնազանդ, բայց այս անիրաւութիւն էր յոյժ: Վասն որոյ փախեայ...
str_npc4_backstory_b|Որպէս եւ այլք ի տան իմում, կամէի հռչակել զանուն իմ ի հեռաւոր աշխարհս յառաջ քան դառնալն իմ ի հայրենիս: Աւա՜ղ, տէրք աշխարհիս այսորիկ ոչ ճանաչեն զկարգս զինուորութեան եւ համարեցին զիս աւազակ, եւ նոյնիսկ գին եդին ի վերայ գլխոյ իմոյ: Դու անշուշտ համամիտ ես զի այս է մեծ նախատինք վասն ազնուականի!
str_npc5_backstory_b|Յիրաւի ի սկզբանէ ունիմք զոխ ընդ Հումյանաց, որք բնակին ի հարեւան հովտի: Ի յայսմ թշնամութեան բազումք մեռան, նոյնիսկ երկու եղբարք իմ: Կաղանն մեր հրամայեց հաշտութիւն, զի ոչ պակասեսցին մարդիկ վասն այլ պատերազմաց: Բայց ես ոչ լռեցի, արիւն եղբարց իմոց պահանջէր վրէժ: Սպանեցի զմի ի Հումյանաց ի լերինս, եւ փախեայ ի գեւղէ իմմէ գաղտնի: Յուսամ դառնալ զկնի երկուց ամաց, յորժամ մոռասցին զայս: Բայց Հումյանք ոչ մոռանան, այս է գին պատուոյ:
str_npc6_backstory_b|Էի սպասաւոր ձիոց առ {s19} ի {s20}, եւ եղբայր իմ ծառայէր ընդ իս: Բայց երկոքեան մեր սիրեցաք զմի կին, զբոզ մի, որ գրգռեաց զնախանձ մեր: Եղբայր իմ եւ ես սկսաք կռուիլ: Էի յոյժ արբեալ: Նա ապտակեաց զիս, եւ ես դատարկեցի զսուր իմ ի նա... Յեղբայրն իմ հարազատ! Սուր իմ ներկեցաւ արեամբ հարազատի իմոյ:
str_npc7_backstory_b|Դժնդակ բախտն իմ էր զի հայր իմ տուաւ զիս կնութեան մարդոյ միոյ, որ միշտ հարուածէր զիս: Փախեայ ի նմանէ եւ ընկայ ի ձեռս աւազակաց: Մի ոմն ի նոցանէ էր բարի առ իս եւ ուսոյց ինձ կռուիլ եւ որսալ, բայց այլք սպանեցին զնա վասն նախանձու: Վասն որոյ փախեայ դարձեալ...
str_npc8_backstory_b|Ես եմ ի յայտնի տոհմէ հիւսիսային կողմանց, դուստր նախարարի եւ կին այլոյ: Կռուեցայ ընդ ամուսնոյ իմոյ ի պատերազմի եւ եղէ նմա ընկեր ի խաղաղութեան: Բայց յառաջ քան զլինել իմ մայր, ամուսին իմ մեռաւ ի ժանտախտէ: Նա կամէր զի ես կառավարեցից զհողս իւր քանզի ոչ ունէաք ժառանգ: Բայց տեգր իմ, անիծեալ լիցի անուն նորա, ասէր թէ կին ոչ կարէ լինել գլուխ նախարարութեան: Այս էր յիմարութիւն, բայց ոսկի նորա բաւական եղեւ գնել զհաւատարմութիւն ապերախտ ծառայից ամուսնոյ իմոյ: Վասն որոյ փախեայ, հակառակ ամենայնի զոր ուսայ ի կեանս իմ:
str_npc9_backstory_b|Ես եմ որդի եւ ժառանգ հօր իմոյ: Բայց յետ մահուան մօր իմոյ, հայր իմ դարձեալ ամուսնացաւ: Նոր կին նորա կամէր զի որդի իւր լիցի ժառանգ: Նա ոչ կարէր յայտնի գործել ընդդէմ իմ, բայց միում աւուր եդ կերակուր մահաբեր առաջի իմ, զոր ես ետու շան իմում եւ նա մեռաւ իսկոյն: Ես մեղադրեցի զխորթ մայրն իմ, բայց հայր իմ ի ձեռս նորա լինելով՝ ոչ հաւատաց ինձ եւ հրամայեց ինձ մեկնել ի տանէն:
str_npc10_backstory_b|Էի հարիւրապետ ի զօրանոցի {s20} ի {s19}: Քսան ամ պահպանեցի զքաղաքն: Բազում անգամ պատժեցի զչարագործս: Մինչեւ եկն մի ոմն հպարտ եւ անմիտ հրամանատար ի վերայ իմ: Միում աւուր, յորժամ պահէի յաշտարակի, նա եկն եւ մեղադրեց զիս զի ոչ պահէի զաղեղն իմ լարեալ: Յիրաւի, զի անձրեւ էր եւ լարն թուլանայր! Բայց նա կամէր չարչարել զիս: Յայնժամ լքի զտեղի իմ եւ փախեայ:
str_npc11_backstory_b|Երեսուն ամ կեացի յարեալ ի բանակս աշխարհիս, վաճառեցի զըմպելիս, գործեցի զխաղս եւ եգիտի կանայս վասն զօրականաց, բայց ի վերջոյ ոչինչ մնաց ինձ:
str_npc12_backstory_b|Յիրաւի ես եմ փիլիսոփայ բնութեան, բայց վասն տգիտութեան բժշկաց ի համալսարանի իմում, վաստակեմ զհաց իմ որպէս շրջուն վիրաբոյժ: Վաճառական մի ի յայսմ քաղաքէ վարձեաց զիս բժշկել զորդի իւր, որ անկեալ էր ի պատշգամբէ: Ես բացի զգանգ նորա առ ի թեթեւացուցանել զուռուցքն, բայց ծնողք նորա ոչ արարին զոր ասացի վասն ջերմանն, եւ մանուկն մեռաւ: Հայրն, փոխանակ վարձատրելոյ զջանս իմ, մեղադրեց զիս ի կախարդութեան: Զիս! Զփիլիսոփայ բնութեան! Այսպէս է տգիտութիւն եւ ապերախտութիւն մարդկան:
