dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Կամիմ յետաձգել զկարգումն տիրոջն, մինչեւ խորհրդակցեցայց ընդ հպատակս իմ:
dlga_village_farmer_talk:close_window|Տեսցուք քանի՞ աղքատ էք: Տո՛ւք զամենայն զոր ունիք: Ապա թէ ոչ խլեցից զամենայն ես ինքնին, եւ առաւել եւս՝ զկեանս ձեր: Իսկ կանայք ձեր հաճոյ թուեսցին մանկանց իմոց:
dlga_village_farmer_talk:close_window.1|Արդ, շարունակեցէ՛ք զճանապարհ ձեր: Մնա՛յք բարեաւ:
dlga_start:minister_issues|{reg59?Տիկին:Տէր} իմ, ես ի ծառայութեան ձերում եմ:
dlga_start:close_window.4|Աղաչեմ, պարտ է սպասել ամենեցուն որք կամին նաւարկել ընդ մեզ:
dlga_start:member_castellan_talk|Այո՞, {playername}: Որո՞վ կարեմ աւգնել քեզ:
dlga_member_castellan_pretalk:member_castellan_talk|Այլ ի՞նչ:
dlga_member_castellan_talk:member_review_castle_garrison|Պիտոյ են ինձ տեղեկութիւնք վասն պահազաւրաց ամրոցիս:
dlga_member_review_castle_garrison:member_castellan_pretalk|Անշուշտ: Տո՛ւր գիտել, եթէ խորհեսցիս փոխել զինչ:
dlga_member_castellan_talk:member_review_castellan_equipment|Պարտիմ տեսանել զզինանոցն:
dlga_member_review_castellan_equipment:member_castellan_pretalk|Խնդրեմ, ամենայն ինչ աստ է...
dlga_member_castellan_talk:member_castellan_join|Առաջարկեմ քեզ թողուլ զամրոցս եւ միանալ գնդի իմում:
dlga_member_castellan_join:close_window|Տեղիս այս կարի սիրելի է ինձ... Այլ եթէ այնպէս է կամք քո, {playername}, ընկերացայց քեզ:
dlga_member_castellan_join:member_castellan_pretalk|Եւ ո՞ւր իջեւանեսցուք մեք: Ածես դու ընդ քեզ զբովանդակ զաւրս, {playername}, եւ ոչ լիցի տեղի բաւական վասն ամենեցուն:
dlga_member_castellan_talk:close_window|[Մեկնիլ]
dlga_member_chat:kidnapped_girl_chat_1|Միթէ տո՞ւնն եմք մենք:
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Տակաւին ո՛չ:
dlga_kidnapped_girl_chat_2:close_window|Երանի թէ փութով դառնայաք: Կամիմ տեսանել զընտանիս իմ:
dlga_member_chat:member_lady_1|{playername}, ե՞րբ հասցուք ի վայրն, զի՞նչ կարծես:
dlga_member_lady_1:member_lady_2a|Տակաւին ճանապարհ մեծ կայ առաջի մեր...
dlga_member_lady_1:member_lady_2b|Ընդհուպ, համբերեա՛ փոքր մի եւս:
dlga_member_lady_2a:close_window|Երանի թէ երկար գնայաք: Ուղեւորիլ ընդ մաքուր աւդով առաւել քաղցր է, քան նստիլ յամրոցի անդ: Եւ գիտէ՞ք, նախանձիմ ձեզ. բովանդակ կեանք ձեր անցանէ ի ճանապարհորդութեան:
dlga_member_lady_2b:close_window|Բարի: Մի՛ կարծէք, թէ տաղտկալի է ինձ ընդ ձեզ, այլ սովոր եմ ես բոլորովին այլոց կենաց: Եւ սակայն ափսոս է բաժանիլ ի ձէնջ: Խոստացարո՛ւք, զի անպատճառ հիւր եկեսջիք առ իս:
dlga_member_chat:supported_pretender_talk|Ողջունեմ զքեզ, {playername}: Դու առաջին եւ հաւատարմագոյն ես ի հպատակաց իմոց, եւ պիտոյ է ինձ խորհուրդ քո:
dlga_supported_pretender_pretalk:supported_pretender_talk|Այլ ի՞նչ:
dlga_supported_pretender_talk:pretender_progress|Արդ, որպէ՞ս գնահատես դու զյաջողութիւնս մեր:
dlga_pretender_progress:pretender_progress_2|{reg11? Ընդ մեզ իցեն {reg11} ազնուականք:Յառաջիկայս ընդ մեզ չիք ոչ մի յազնուականաց}, եւ {reg21?{s9} ընկալաւ զթիկունս յ{reg21} ազնուականաց:{s9} ոչ ընկալաւ զթիկունս յումեքէ յազնուականաց անտի}: {reg19?Իշխեմք մեք ի վերայ {reg13?{reg13} քաղաքաց:} {reg14?{reg14} ամրոցաց:} {reg15?եւ {reg15} գեւղից:}:Ոչ իշխեմք մեք եւ ոչ միոջ բնակավայրի}, իսկ {reg29? նոքա իշխեն ի վերայ {reg23?{reg23} քաղաքաց,:} {reg24?{reg24} ամրոցաց:} {reg25?եւ {reg25} գեւղից:}:ոչ եւս իշխեն նոքա եւ ոչ միոջ բնակավայրի}: Ի բովանդակին՝ {s30}:
dlga_pretender_progress_2:supported_pretender_pretalk|Ապա պարտիմք մեք շարունակել զմարտն եւ միաւորել զդաշնակիցս մեր:
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Թուի թէ ոչինչ բարի ելանէ յապստամբութենէս այսմանէ: Պարտ է անձնատուր լինել:
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, ոչ մարթիս դու լքանել զիս յայսպիսի պահու: Լո՞ւրջ ասես:
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Միանգամայն լուրջ: Ոչ եւս կարեմ ես տալ քեզ զթիկունս:
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|Ո՛չ, կատակ էր այս: Մարտնչեցայց ընդ քեզ մինչեւ ի յաղթանակ:
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Հաստատո՞ւն ես: Ես երբէք ոչ ներեցից քեզ, եթէ լքանես զիս յայսպիսի վիճակի:
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|Այս ոչ քննի:
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Բարի, ես ոչ առից վճիռս անխորհուրդս:
dlga_pretender_quit_rebel:close_window|Եղիցի՛ այնպէս: Այժմ վասն իմ ամենայն ինչ կորուսեալ է: Ստիպեալ լինիցիմ յաւիտեան թողուլ զԲրիտանիա: Յետ մեկնելոյ իմոյ, թերեւս, յաջողեսցի ձեզ հաշտիլ ընդ {s4}:
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?Տիկին:Տէր} իմ, հրամա՞ն տաս քննել զսպառազինութիւն քո:
dlga_supported_pretender_equip:supported_pretender_pretalk|Խնդրեմ, ամենայն ինչ աստ է...
dlga_supported_pretender_talk:pretneder_view_char_requested|Պատմեա՛ ինձ, աղաչեմ, վասն հմտութեանց քոց:
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Այո՛, անշուշտ:
dlga_supported_pretender_talk:supported_pretender_grant_fief|Իմանամ ես, թէ ընտրես դու, թէ ո՞վ կառավարեսցէ զաւատական կալուածն, որ չունի զտէր:
dlga_supported_pretender_grant_fief:supported_pretender_grant_fief_select|Զորպիսի՞ հողս խորհիս տալ:
dlga_supported_pretender_grant_fief_select:supported_pretender_grant_fief_choose_recipient|{s4}
dlga_supported_pretender_grant_fief_choose_recipient:center_captured_rebellion|Եւ ո՞ւմ լինիցին այնոքիկ:
dlga_supported_pretender_grant_fief_select:supported_pretender_pretalk|Մոռացի՛ր:
dlga_supported_pretender_talk:close_window|Երթիցո՛ւք յառաջ, {reg65?տիկին:տէր} իմ:
dlga_do_member_trade:member_talk|Այլ ի՞նչ:
dlga_member_pretalk:member_talk|Այլ ի՞նչ:
dlga_member_chat:member_talk|Այո՞, {s5}:
dlga_member_talk:member_direct_campaign|Որպէս հրամանատար կամիմ ես, զի առաքեսցես դու նամակ առ ամենայն հպատակսն:
dlga_member_talk:member_trade|Տո՛ւր տեսից զսպառազինութիւն քո:
dlga_member_trade:do_member_trade|Խնդրեմ, ամենայն ինչ աստ է...
dlga_member_talk:view_member_char_requested|Պատմեա՛ ինձ վասն հմտութեանց քոց:
dlga_view_member_char_requested:do_member_view_char|Ո՜... Այժմ պատմեցից զամենայն...
dlga_member_talk:member_separate|Պարտիմք մեք առժամանակ բաժանիլ:
dlga_member_separate:member_separate_confirm|Արդարե՞ւ: Ոչ կամիմ պարապ շրջիլ, սպասելով ձեզ: Ստիպեալ լինիցիմ շրջել ընդ քաղաքս եւ որոնել զգործ: Զայդ կամի՞ս:
dlga_member_separate:companion_quitting|Արդ, ընդհանրապէս կամէի ասել ձեզ ինչ...
dlga_member_separate_confirm:member_separate_yes|Այո՛: Պարտ է մեզ բաժանիլ:
dlga_member_separate_confirm:do_member_trade|Ո՛չ, ոչ կամէի կորուսանել զձեզ:
dlga_member_separate_yes:close_window|Բարի: Ապա երթայց ես: Եթէ պիտոյ լինիցի՝ ինքնին գտջիք զիս:
dlga_member_talk:member_question|Կամիմ հարցանել ի քէն ինչ:
dlga_member_talk:close_window|Ոչ է կարեւոր:
dlga_member_question:member_question_2|Անշուշտ: Վասն է՞ր կամէիր հարցանել:
dlga_member_question_2:member_morale|Որպէ՞ս է կացութիւն ի գնդի աստ: Զի՞նչ ասես:
dlga_member_question_2:member_background_recap|Պատմեա՛ ինձ վերստին վասն քո:
dlga_member_question_2:member_kingsupport_1|Կարծեմ թէ գիտես, զի կամիմ լինել {reg59?Թագուհի:Թագաւոր} երկրացս այսոցիկ:
dlga_member_question_2:member_intelgathering_1|Ունի՞ս դու ծանաւթս ի մերձակայ երկիրս, յորոց մարթիս գիտել, թէ զի՞նչ գործի անդ անմիջապէս ի նոցանէ:
dlga_member_question_2:member_fief_grant_1|Կամիմ ես, զի լինիցիս դու հպատակ իմ եւ ստանասցես զկալուած:
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Արդ եւ ապա ընկալար դու զիս առ քեզ:
dlga_do_member_view_char:member_talk|Այլ ի՞նչ:
dlga_member_kingsupport_1:do_member_trade|Մ-մ... Այո՛, պատահեաց լսել:
dlga_member_kingsupport_1:member_kingsupport_1a|{s21}
dlga_member_kingsupport_1a:member_kingsupport_2|Արդ զի՞նչ, աւգնեսցե՞ս իրագործել զայս:
dlga_member_kingsupport_1a:do_member_trade|Գերազա՛նց, ի մտի ունեցայց:
dlga_member_kingsupport_2:do_member_trade|Թերեւս, {s21}: Առաւել եւս, ունիմ ես խորհուրդ, թէ որպէս աւգնել ձեզ ելանել ի գահ: Բայց {s22} արդէն իսկ կատարէ վասն ձեր զնման յանձնարարութիւն, ուստի լաւագոյն է սպասել - ընդէ՞ր տարաժամ գրաւել զուշադրութիւն առ մեզ:
dlga_member_kingsupport_2:member_kingsupport_2a|{s21}
dlga_member_kingsupport_2a:member_kingsupport_3|{s21}
dlga_member_kingsupport_2a:do_member_trade|{s21}
dlga_member_kingsupport_3:member_kingsupport_3a|{s21}
dlga_member_kingsupport_3a:member_kingsupport_4|Բարի, այնպէս եւ արասցուք:
dlga_member_kingsupport_3a:do_member_trade|Թերեւս... Կա՛ց առժամանակ առ իս:
dlga_member_kingsupport_4:close_window|Ապա ուրեմն, {s21}, մնաս բարեաւ առժամանակ:
dlga_member_intelgathering_1:member_intelgathering_3|{s21}
dlga_member_intelgathering_3:member_intelgathering_3|Անշուշտ, որչափ սակաւք գիտասցեն զայսմանէ, այնչափ լաւագոյն է: Եթէ կամիցիք ինչ հարցանել կամ ասել, մի՛ յղէք զսուրհանդակ: Եկայք դուք ինքնին, նոյնիսկ եթէ պարտ լինիցի մտանել ի քաղաք գաղտագողի:
dlga_member_intelgathering_3:member_intelgathering_4|Ոչ վատ խորհուրդ է, այնպէս եւ արասցուք:
dlga_member_intelgathering_3:do_member_trade|Կարծեմ, տակաւին ոչ արժէ:
dlga_member_intelgathering_4:close_window|Բարի: Ես դարձայց իբրեւ յետ հինգ աւուրց: Մինչ տեսութիւն ընդհուպ, {s21}:
dlga_merchant_quest_4_start:close_window|Ժամ է, տղա՛յք: Ի մա՛րտ:
dlga_start:relative_saved_1a|Կացէ՛ք: Որքա՜ն բազում նաւակք են ընդ ձեզ: Ո՞յք էք դուք: Եւ զի՞նչ խնդրէք:
dlga_relative_saved_1a:close_window|Այո՛, նա խնդրեաց յինէն գտանել զքեզ: Կարծեմ պարտ է քեզ որչափ կարելի է արագ դառնալ առ ընտանիքն: Եւ զգո՛յշ լեր ի ճանապարհի:
dlga_start:bandit_leader_1a|Ա՜-ա՜: Խնայեա՛ց յիս: Արձակեա՛ զիս, եւ ես գնացից հեռի յոյժ ի վայրացս յայսցանէ, պարապեցայց արդար արհեստիւ, եւ դուք ոչ եւս երբէք, երդնում, երբէք ոչ լուիցէք զինէն:
dlga_bandit_leader_1a:bandit_leader_1b|Բարի, պահեցից ես զկեանս քո - բայց փոխանակ տեղեկութեան: Դու կամ ընկերք քո գողացայք զեղբայր ազնուական քաղաքային վաճառականի միոջ: Պատմեա՛, թէ ո՞ւր պահէք դուք զնա, եւ տո՛ւր ինձ խաւսք, զի դադարեսցես նեղել զարդար ժողովուրդս յերկրամասիս յայսմիկ: Եւ կորի՛ր:
dlga_start:looter_leader_1|Զի՞նչ պիտոյ է քեզ:
dlga_looter_leader_1:looter_leader_2|Զքեզ իսկ եւ որոնէի ես: Ասա՛, ո՞ւր պահէք դուք զգերիսն, եւ ես արձակեցից զքեզ:
dlga_looter_leader_1:close_window|Ոչինչ: Մեք թողցուք զձեզ ի խաղաղութեան:
dlga_looter_leader_2:looter_leader_3|Հա՜: Գերիքն երթիցեն, միայն եթէ դու վճարեսցես վասն նոցա: Ունի՞ս դու ոսկի:
dlga_looter_leader_3:close_window|Ո՛չ: Սակայն պողովատ բաւական է: Եւ նա վաղուց ոչ է լուացեալ ի ջերմ արեան:
dlga_bandit_leader_1b:close_window|Աւրհնեսցէ զձեզ Աստուած, {reg59?տիկին:տէր} իմ: Մեք պատանւոյն ոչինչ արարաք, մեք պահեմք զնա յորջի մերում, առ {s9}: Ես պատմեցից ձեզ, թէ ո՞ւր է զի - ոչ սխալեսջիք...
dlga_start:rescue_prisoner_succeed_2|{playername}, դու փրկեցե՛ր զնա: Գոհանամ զքէն ի բոլոր սրտէ վասն փրկութեանն {s11}: Աղաչեմ, ա՛ռ զհամեստ գումարս այս ոսկւոյ, այս ամենայն է զոր յաջողեցաւ ինձ ժողովել:
dlga_rescue_prisoner_succeed_2:lord_pretalk|Միշտ պատիւ է ծառայել քեզ, {s65}:
